text,created_at,retweet_count,favorite_count,is_retweet,id_str
We can’t let Donald Trump destroy the U.S. Postal Service.,2020-08-09 19:15:00,10158,54082,False,1292539896465416192
It's been six years since Michael Brown's life was taken in Ferguson — reigniting a movement. We must continue the work of tackling systemic racism and reforming policing.,2020-08-09 17:00:00,6281,34913,False,1292505925685633025
Our planet can’t take four more years of Donald Trump. We have to get him out of the White House so we can start treating the climate crisis like the urgent threat it is.,2020-08-09 15:00:02,17283,102639,False,1292475731172261894
RT @TeamJoe: We seriously can’t wait to see who’s going to join #TeamJoe! Text FIRST to 30330 to be the first to know when @JoeBiden makes…,2020-08-09 14:24:10,797,0,True,1292466709006344193
"Giving the Trump administration another four years in office would have catastrophic implications for future generations. His victory would threaten the future of our democracy, and we must vote him out this November. https://t.co/iIFPTIB1Er",2020-08-09 13:00:00,10095,40664,False,1292445526005252096
"The United States just passed 5 million reported infections of COVID-19. It’s a number that boggles the mind and breaks the heart. Each time the number goes up, it represents a life altered, a family stricken with anxiety, a community on edge. It shouldn’t have gotten this bad.",2020-08-09 01:00:01,18811,89240,False,1292264334287044609
"Today, Donald Trump stated that if re-elected, he'll undermine the entire financial footing of Social Security.

Our seniors and millions of Americans with disabilities are under enough stress without their hard-earned Social Security benefits in doubt. https://t.co/glUDQlcbEO",2020-08-09 00:30:00,16668,42200,False,1292256781826052097
"Donald Trump has refused to take serious action to combat the COVID-19 crisis. And as a result, he got what he’s always wanted — the U.S. isolated from the rest of the world. https://t.co/owvNL4ul74",2020-08-09 00:00:00,16208,43578,False,1292249233316130816
"It’s an important choice, and I want you to be one of the first to know who I’ve picked as my running mate – text FIRST to 30330 to get notified when I’ve made my decision.",2020-08-08 22:30:00,6710,45304,False,1292226583101497344
"Between the coronavirus and the economic crisis, this is a tough time for our country, I know. But I firmly believe that our best days still lie ahead. Together, we will climb out of these crises and emerge stronger than before.",2020-08-08 21:15:00,8717,49323,False,1292207707894685696
"The fact is, Donald Trump left our nation unprepared and unprotected for the worst public health crisis of our lifetime — and we're paying the price every single day. https://t.co/sZJCdivRo3",2020-08-08 19:00:01,13937,41987,False,1292173738910216192
"Our nation is desperate for leadership — leadership that can unite us and steer us through these crises. But at the most critical moment of his presidency, Donald Trump has nothing to offer.",2020-08-08 16:45:00,11712,63009,False,1292139760195178498
